
Name                         Path                                             RefCount Sample
----                         ----                                             -------- ------
AgentCommandPalette          Agent\UI\AgentCommandPalette.xaml                       0 
AgentPanelControl            Coding\Controls\AgentPanelControl.xaml                  0 
IntentPreviewControl         Coding\Controls\IntentPreviewControl.xaml               0 
StageHistoryControl          Coding\Controls\StageHistoryControl.xaml                0 
VerificationPanelControl     Coding\Controls\VerificationPanelControl.xaml           0 
AIRecommendationCard         Controls\AIRecommendationCard.xaml                      0 
AppsBrowserPopupWindow       Controls\AppsBrowserPopupWindow.xaml                    0 
CaptchaSolverWindow          Controls\CaptchaSolverWindow.xaml                       0 
CustomSpeechStudioControl    Controls\CustomSpeechStudioControl.xaml                 0 
DigitalBrainControl          Controls\DigitalBrainControl.xaml                       0 
DJBoothControl               Controls\DJBoothControl.xaml                            0 
FeaturedHeroControl          Controls\FeaturedHeroControl.xaml                       0 
LottieOrbControl             Controls\LottieOrbControl.xaml                          0 
MediaCarouselControl         Controls\MediaCarouselControl.xaml                      0 
PresenceCoreControl          Controls\PresenceCoreControl.xaml                       0 
StatsCardControl             Controls\StatsCardControl.xaml                          0 
ITDashboardPanel             ITManagement\UI\ITDashboardPanel.xaml                   0 
MediaFolderConfigWindow      MediaFolderConfigWindow.xaml                            0 
SystemGuardWindow            SecuritySuite\SystemGuardWindow.xaml                    0 
SecuritySuiteTheme           SecuritySuite\Themes\SecuritySuiteTheme.xaml            0 
ThreatRemediationModal       SecuritySuite\UI\ThreatRemediationModal.xaml            0 
TestDownloadWindow           TestDownloadWindow.xaml                                 0 
DebugOverlay                 UI\DebugOverlay.xaml                                    0 
FirstRunWizardWindow         UI\FirstRunWizardWindow.xaml                            0 
FuturisticSecurityDashboard  UI\Pages\FuturisticSecurityDashboard.xaml               0 
SecurityAlertWindow          UI\SecurityAlertWindow.xaml                             0 
SystemHealthDialog           UI\SystemHealthDialog.xaml                              0 
SystemScannerDialog          UI\SystemScannerDialog.xaml                             0 
VoiceDiagnosticsView         UI\VoiceDiagnosticsView.xaml                            0 
WorkflowTimelinePanel        Workflows\UI\WorkflowTimelinePanel.xaml                 0 
AddAvatarDialog              AddAvatarDialog.xaml                                    1 AvatarSelectionWindow.xaml.cs:142
CaptureHistoryWindow         CaptureHistoryWindow.xaml                               1 ChatWindow.xaml.cs:6376
CodeEditorWindow             CodeEditorWindow.xaml                                   1 ChatWindow.xaml.cs:12218
CreateControl                Controls\CreateControl.xaml                             1 CommandCenterWindow.xaml.cs:2343
MediaCardControl             Controls\MediaCardControl.xaml                          1 Controls\MediaCarouselControl.xaml.cs:36
AudioVisualizerControl       Controls\MediaCentre\AudioVisualizerControl.xaml        1 Controls\MediaCenterControl.xaml:1492
ScanOrbitControl             Controls\ScanOrbitControl.xaml                          1 ChatWindow.xaml:912
SecurityChatPanel            Controls\SecurityChatPanel.xaml                         1 UI\Pages\SecurityPage.xaml:227
StatusPanelControl           Controls\StatusPanelControl.xaml                        1 ChatWindow.xaml:535
TypingIndicatorControl       Controls\TypingIndicatorControl.xaml                    1 Views\ChatView.xaml:152
OnboardingWindow             Conversation\UI\OnboardingWindow.xaml                   1 ChatWindow.xaml.cs:14533
DjConsoleView                DJ\DjConsoleView.xaml                                   1 CommandCenterWindow.xaml.cs:2339
LibraryModal                 DJ\LibraryModal.xaml                                    1 DJ\DjConsoleView.xaml.cs:196
MixerControl                 DJ\MixerControl.xaml                                    1 DJ\DjConsoleView.xaml:83
WaveformDisplay              DJ\WaveformDisplay.xaml                                 1 DJ\DeckControl.xaml:173
FullscreenPlayerWindow       FullscreenPlayerWindow.xaml                             1 Controls\MediaCenterControl.xaml.cs:42
ApiManagementHostView        Modules\ApiManagement\ApiManagementHostView.xaml        1 CommandCenterWindow.xaml.cs:2341
RealDebridConfigDialog       Modules\Downloader\RealDebridConfigDialog.xaml          1 Modules\Downloader\DownloadManager.cs:114
AIDiagnosticWindow           SecuritySuite\AI\AIDiagnosticWindow.xaml                1 Agent\SecurityAgent.cs:102
